Date,Open,High,Low,Close,Volume,ticker,Year,Month,Day
2006-08-08,2.0120991430454853,2.012699578408202,1.9347230659983723,1.9428198337554932,997864000,AAPL,2006,8,8
2006-08-09,1.9623140611126222,1.967412054095119,1.9014322564521933,1.9071298837661743,955838800,AAPL,2006,8,9
2006-08-10,1.8969334663570196,1.9437191535472675,1.8804382186393305,1.921525478363037,697760000,AAPL,2006,8,10
2006-08-11,1.8963337349120069,1.923325895661572,1.876839708033527,1.9089300632476807,777529200,AAPL,2006,8,11
2006-08-14,1.9209267451492718,1.9560166776897707,1.9074312640874171,1.9176274538040161,717620400,AAPL,2006,8,14
2006-08-15,1.9596142080985741,1.994404211239704,1.9434196764636364,1.9929044246673584,861352800,AAPL,2006,8,15
2006-08-16,2.0124001262952196,2.041490712909893,1.9893068866825392,2.0387916564941406,781284000,AAPL,2006,8,16
2006-08-17,2.039390688253951,2.059185231005447,2.0147986697427416,2.027095079421997,581148400,AAPL,2006,8,17
2006-08-18,2.0306930821371028,2.0513869722869087,2.017197406311561,2.036691427230835,536354000,AAPL,2006,8,18
2006-08-21,2.0183970195811947,2.0186977377642052,1.9839077272522203,1.996204137802124,526226400,AAPL,2006,8,21
2006-08-22,1.9998031683156574,2.04898820550859,1.9944044565418702,2.027994394302368,576968000,AAPL,2006,8,22
2006-08-23,2.0393901109578647,2.058884931088314,2.007599685476014,2.0186970233917236,536258800,AAPL,2006,8,23
2006-08-24,2.0360919748014785,2.0450890928221486,1.9875065764732034,2.0336928367614746,655191600,AAPL,2006,8,24
2006-08-25,2.01959565939067,2.0708798857811503,2.0186963084441696,2.061882972717285,543958800,AAPL,2006,8,25
2006-08-28,2.0543871416918402,2.057685631815662,1.9998033867627043,2.008800506591797,738161200,AAPL,2006,8,28
2006-08-29,2.0090999944803265,2.017197761783861,1.9530166592415883,1.9938048124313354,947332400,AAPL,2006,8,29
2006-08-30,2.0195966627401907,2.033992491598773,1.9998029236156074,2.0082004070281982,680142400,AAPL,2006,8,30
2006-08-31,2.0177971599033406,2.048388321266385,1.9992024892252198,2.0348918437957764,574697200,AAPL,2006,8,31
2006-09-01,2.053786459935714,2.0588854545574735,2.033992718602055,2.0507876873016357,408494800,AAPL,2006,9,1
2006-09-05,2.0684830028736645,2.1443603158406193,2.0558868703934796,2.1437606811523438,1012457600,AAPL,2006,9,5
2006-09-06,2.1317636589474827,2.150058620620998,2.090376658823793,2.1002731323242188,974103200,AAPL,2006,9,6
2006-09-07,2.1173672102155896,2.2037411545121746,2.1068703092749,2.18334698677063,1267957600,AAPL,2006,9,7
2006-09-08,2.20044273058184,2.206441076456062,2.1566556065472655,2.174950361251831,895921600,AAPL,2006,9,8
2006-09-11,2.1722520322166075,2.211239888360397,2.1419605784260995,2.174351453781128,949124400,AAPL,2006,9,11
2006-09-12,2.1836479855892894,2.2028420937117974,2.142860430749523,2.1782500743865967,1684687200,AAPL,2006,9,12
2006-09-13,2.1848472938285326,2.2289341281223543,2.1683522456507345,2.225335121154785,1146138000,AAPL,2006,9,13
2006-09-14,2.2109400406291813,2.239431788326964,2.203141989352507,2.2244365215301514,801729600,AAPL,2006,9,14
2006-09-15,2.237332273694798,2.248728531833156,2.1980439035058934,2.222337007522583,981853600,AAPL,2006,9,15
2006-09-18,2.2133385712613016,2.2451290006385216,2.1983431083714953,2.216038227081299,705278000,AAPL,2006,9,18
2006-09-19,2.2223375267094023,2.2301345784236273,2.1833486643243187,2.212440252304077,710049200,AAPL,2006,9,19
2006-09-20,2.230733625189551,2.2697214622443904,2.2259343490419976,2.25712513923645,822791200,AAPL,2006,9,20
2006-09-21,2.2568256010027263,2.2811186974961917,2.2199361805035056,2.23883056640625,794124800,AAPL,2006,9,21
2006-09-22,2.228332949033256,2.229533018045348,2.1767490016261206,2.189345121383667,665112000,AAPL,2006,9,22
2006-09-25,2.2136387758774307,2.275121028156849,2.210939920310174,2.2718217372894287,858992400,AAPL,2006,9,25
2006-09-26,2.284716969607508,2.3327027246545367,2.282317631802215,2.3276045322418213,1102948000,AAPL,2006,9,26
2006-09-27,2.31440847580267,2.3234063949465584,2.2739206426205048,2.2916159629821777,810373200,AAPL,2006,9,27
2006-09-28,2.3099100457101422,2.3237062418520225,2.2778198948740025,2.30961012840271,723609600,AAPL,2006,9,28
2006-09-29,2.3126099774020155,2.324905587412408,2.2997131312223886,2.308711051940918,405812400,AAPL,2006,9,29
2006-10-02,2.2523270841937846,2.2754201117174104,2.228333704288361,2.245128870010376,712639200,AAPL,2006,10,2
2006-10-03,2.232834251497395,2.2478295199356633,2.195045462278701,2.2217369079589844,790708800,AAPL,2006,10,3
2006-10-04,2.222336103957809,2.2631234436085155,2.1941440860335124,2.2607243061065674,829082800,AAPL,2006,10,4
2006-10-05,2.2352328748148698,2.284117995238014,2.2232361823226214,2.244229793548584,683883200,AAPL,2006,10,5
2006-10-06,2.2319326112134377,2.2505272779267305,2.213637861708613,2.2259342670440674,466958800,AAPL,2006,10,6
2006-10-09,2.2133393938447186,2.2517284177706265,2.205241624645966,2.238232135772705,438222400,AAPL,2006,10,9
2006-10-10,2.235532747826509,2.2367318165238874,2.191745618023284,2.2136387825012207,531588400,AAPL,2006,10,10
2006-10-11,2.201942630473864,2.2187375993615666,2.177349611336929,2.19624400138855,571855200,AAPL,2006,10,11
2006-10-12,2.207640399710288,2.2610242633019295,2.2073398818554852,2.25712513923645,592855200,AAPL,2006,10,12
2006-10-13,2.268222189481319,2.3057110495616815,2.2415307521717174,2.2499282360076904,684196800,AAPL,2006,10,13
2006-10-16,2.255025629823733,2.2757195148939653,2.2430289425810055,2.2613236904144287,508692800,AAPL,2006,10,16
2006-10-17,2.2505276132450405,2.257425309644032,2.220536688776698,2.228034019470215,480925200,AAPL,2006,10,17
2006-10-18,2.2418303712402317,2.2604250420355987,2.2166379208336613,2.2352325916290283,1133907600,AAPL,2006,10,18
2006-10-19,2.377090335776427,2.397784233177507,2.3441008276836617,2.368992567062378,1512977200,AAPL,2006,10,19
2006-10-20,2.3683926616910425,2.3989838258802383,2.3593955431109013,2.3977837562561035,639413600,AAPL,2006,10,20
2006-10-23,2.398983808363216,2.4562664105744405,2.3917853927891275,2.443070650100708,832507200,AAPL,2006,10,23
2006-10-24,2.4355724881692224,2.449668601002795,2.4052818425008176,2.430774211883545,463212400,AAPL,2006,10,24
2006-10-25,2.4397714122080747,2.4592654379584236,2.429574423233463,2.4496688842773438,485214800,AAPL,2006,10,25
2006-10-26,2.4562660360246293,2.4772598432552146,2.433173008240413,2.464963436126709,432756800,AAPL,2006,10,26
2006-10-27,2.451767801591842,2.472761611597935,2.399583394080272,2.4115800857543945,594966400,AAPL,2006,10,27
2006-10-30,2.3989834977717592,2.4262753677150526,2.384287952499135,2.411879539489746,499917600,AAPL,2006,10,30
2006-10-31,2.442770866910865,2.4496685641531015,2.4061811577646632,2.431673526763916,501474400,AAPL,2006,10,31
